Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
Rp 3 Miliar,"Gunung Putri, Kab. Bogor",3,4,162,210,Second
Rp 360 Juta - Rp 475 Juta,"Ciampea, Kab. Bogor",2,1,60 - 72,36 - 45,Baru
"Rp 4,7 Miliar","Kemiling, Kota Bandar Lampung",8,7,1.800,1.500,Second
Rp 650 Juta,"Semarang Barat, Kota Semarang",2,1,129,36,Baru
Rp 645 Juta,"Jatiasih, Kota Bekasi",3,2,60,68,Second
Rp 361 Juta - Rp 592 Juta,"Tembalang, Kota Semarang",2,1,75,36,Baru
"Rp 1,8 Miliar","Rungkut, Kota Surabaya",2,2,200,160,Second
"Rp 980 Juta - Rp 1,1 Miliar","Tanah Sareal (Tanah Sereal), Kota Bogor",3,2,80,80,Baru
"Rp 1,7 Miliar","Kalideres, Kota Jakarta Barat",4,2,90,0,Second
Rp 799 Juta - Rp 815 Juta,"Jagakarsa, Kota Jakarta Selatan",2,1,58,45,Baru
"Rp 1,7 Miliar","Ciputat, Kota Tangerang Selatan",3,3,72,86,Second
Rp 750 Juta,"Bojongsari, Kota Depok",2,1,114 - 144,88,Baru
"Rp 1,2 Miliar","Baki, Kab. Sukoharjo",4,3,100,160,Second
"Rp 1,04 Miliar - Rp 1,28 Miliar","Jagakarsa, Kota Jakarta Selatan",3,2,72,60,Baru
Rp 5 Miliar,"Jaten, Kab. Karanganyar",5,5,LB 612,0,Second
Rp 395 Juta - Rp 460 Juta,"Setu, Kab. Bekasi",2,1,60,36,Baru
Rp 350 Juta,"Colomadu, Kab. Karanganyar",1,LT 70 m²,LB 70,0,Second
Rp 435 Juta - Rp 595 Juta,"Tajurhalang, Kab. Bogor",1-3,1-2,53 - 72,27 - 53,Baru
"Rp 1,89 Miliar","Jagakarsa, Kota Jakarta Selatan",3,3,LB 155,0,Second
Rp 300 Juta - Rp 400 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,72,36,Baru
"Rp 1,6 Miliar","Sukomanunggal, Kota Surabaya",3,3,136,160,Second
Rp 650 Juta,"Semarang Barat, Kota Semarang",2,1,130,36,Baru
"Rp 2,5 Miliar","Rungkut, Kota Surabaya",6,4,200,250,Second
"Rp 1,52 Miliar - Rp 1,72 Miliar","Pamulang, Kota Tangerang Selatan",3,2,77,92,Baru
"Rp 2,5 Miliar","Sukolilo, Kota Surabaya",5,3,318,300,Second
"Rp 1 Miliar - Rp 1,8 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",4,3,140,120,Baru
Rp 550 Juta,"Duren Sawit, Kota Jakarta Timur",2,1,LB 40,0,Second
Rp 765 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",4,2,69,109,Baru
Rp 160 Juta,"Cibarusah, Kab. Bekasi",2,1,60,40,Second
"Rp 600 Juta - Rp 1,19 Miliar","Bekasi Barat, Kota Bekasi",2,1,60 - 90,52,Baru
Rp 700 Juta,"Waru, Kab. Sidoarjo",2,1,91,37,Second
"Rp 1 Miliar - Rp 1,4 Miliar","Bekasi Barat, Kota Bekasi",3,3,117,138,Baru
Rp 480 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",3,1,100,70,Second
Rp 400 Juta - Rp 575 Juta,"Bekasi Utara, Kota Bekasi",2,1,60,48,Baru
"Rp 3,2 Miliar","Duren Sawit, Kota Jakarta Timur",5,2,161,250,Second
Rp 500 Juta - Rp 665 Juta,"Bekasi Utara, Kota Bekasi",2,1,60,60,Baru
Rp 300 Juta,"Sepatan, Kab. Tangerang",2,1,60,60,Second
Rp 300 Juta - Rp 499 Juta,"Setu, Kab. Bekasi",2,1,76,46,Baru
Rp 325 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,61,0,Second
Rp 600 Juta - Rp 799 Juta,"Tambun Selatan, Kab. Bekasi",3,2,63,90,Baru
"Rp 3,7 Miliar","Lowokwaru, Kota Malang",18,19,105,330,Second
"Rp 5,27 Miliar - Rp 6,69 Miliar","Pasar Minggu, Kota Jakarta Selatan",6,4,132,300,Baru
"Rp 1,3 Miliar","Mulyorejo, Kota Surabaya",2,LT 120 m²,LB 70,0,Second
"Rp 535 Juta - Rp 6,69 Miliar","Bojongsari, Kota Depok",2,1,77,50,Baru
"Rp 1,88 Miliar","Serpong Utara, Kota Tangerang Selatan",3,3,95,110,Second
"Rp 1,23 Miliar - Rp 1,67 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",3,2,72,90,Baru
"Rp 1,2 Miliar","Maja, Kab. Majalengka",4,2,1.600,170,Second
Rp 772 Juta,"Tambun Selatan, Kab. Bekasi",3,2,63,90,Baru
Rp 450 Juta,"Tembalang, Kota Semarang",2,2,75,75,Second
Rp 375 Juta - Rp 395 Juta,"Cipayung, Kota Depok",2,1,40,40,Baru
"Rp 2,2 Miliar","Ciputat Timur, Kota Tangerang Selatan",3,3,72,115,Second
"Rp 1 Miliar - Rp 1,12 Miliar","Gunung Putri, Kab. Bogor",3,3,85,70,Baru
"Rp 9,9 Miliar","Ilir Barat I, Kota Palembang",5,6,906,350,Second
"Rp 1,45 Miliar","Cimanggis, Kota Depok",3,2,69,72,Baru
Rp 375 Juta,"Ngaliyan, Kota Semarang",3,2,102,102,Second
"Rp 887 Juta - Rp 1,1 Miliar","Mustikajaya (Mustika Jaya), Kota Bekasi",2,2,60 - 70,60 - 70,Baru
Rp 680 Juta,"Cilodong, Kota Depok",2,1,75,45,Second
Rp 680 Juta - Rp 825 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",3,2,69,72,Baru
"Rp 3,85 Miliar","Pasar Minggu, Kota Jakarta Selatan",3,2,126,252,Second
Rp 282 Juta - Rp 528 Juta,"Sawangan, Kota Depok",1-2,1,60 - 72,24 - 52,Baru
"Rp 1,99 Miliar","Bogor Barat, Kota Bogor",3,2,276,265,Second
Rp 575 Juta - Rp 725 Juta,"Gunung Sindur, Kab. Bogor",2,1,65,50,Baru
Rp 675 Juta,"Tambaksari, Kota Surabaya",3,2,45,90,Second
Rp 290 Juta - Rp 345 Juta,"Pancoran Mas, Kota Depok",2,1,65,36,Baru
Rp 53 Miliar,"Kebayoran Baru, Kota Jakarta Selatan",6,2,LB 452,0,Second
"Rp 2,21 Miliar - Rp 2,89 Miliar","Setu, Kota Tangerang Selatan",3,2,102 - 139,66 - 84,Baru
"Rp 2,75 Miliar","Gunung Putri, Kab. Bogor",4,3,234,146,Second
Rp 850 Juta,"Panyileukan, Kota Bandung",2,2,90,65,Baru
"Rp 1,4 Miliar","Benda, Kota Tangerang",2,1,169,120,Second
Rp 75 Juta - Rp 115 Juta,"Kepanjen, Kab. Malang",LT 72 m²,0,0,0,Baru
Rp 799 Juta,"Antapani (Cicadas), Kota Bandung",2,1,72,36,Second
"Rp 1 Miliar - Rp 1,55 Miliar","Cipayung, Kota Depok",2,1,75,90,Baru
"Rp 2,03 Miliar","Denpasar Barat, Kota Denpasar",3,3,75,100,Second
Rp 640 Juta - Rp 850 Juta,"Cilodong, Kota Depok",2,1,72,45,Baru
"Rp 3,5 Miliar","Serpong Utara, Kota Tangerang Selatan",4,2,160,180,Second
"Rp 633 Juta - Rp 1,88 Miliar","Benda, Kota Tangerang",2-3,1-2,60 - 189,69 - 168,Baru
"Rp 2,4 Miliar","Denpasar Selatan, Kota Denpasar",3,3,100,100,Second
"Rp 1,75 Miliar","Ciputat, Kota Tangerang Selatan",3,2,125,105,Baru
Rp 17 Miliar,"Klojen, Kota Malang",7,4,LB 500,0,Second
"Rp 1,29 Miliar - Rp 1,77 Miliar","Pondok Aren, Kota Tangerang Selatan",3,2,60,72,Baru
Rp 295 Juta,"Pamulihan, Kab. Sumedang",2,1,60,38,Second
Rp 195 Juta,"Cisoka, Kab. Tangerang",2,1,60,36,Baru
"Rp 1,75 Miliar","Larangan, Kota Tangerang",3,3,63,100,Second
Rp 557 Juta - Rp 907 Juta,"Sawangan, Kota Depok",2,1,79,48,Baru
"Rp 4,5 Miliar","Sukolilo, Kota Surabaya",5,3,442,320,Second
"Rp 1,24 Miliar - Rp 1,42 Miliar","Bojongsari, Kota Depok",3,2,65,90,Baru
Rp 800 Juta,"Lowokwaru, Kota Malang",4,2,105,140,Second
"Rp 883 Juta - Rp 1,29 Miliar","Bogor Barat, Kota Bogor",3,2,72,68,Baru
"Rp 2,5 Miliar","Alam Barajo, Kota Jambi",7,4,LB 395,0,Second
"Rp 1,31 Miliar - Rp 1,44 Miliar","Cimanggis, Kota Depok",3,1,70,77,Baru
"Rp 3,25 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",6,4,216,208,Second
Rp 655 Juta - Rp 962 Juta,"Karawaci, Kota Tangerang",3,2,45 - 54,50 - 60,Baru
"Rp 1,3 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",4,3,78,120,Second
Rp 373 Juta - Rp 415 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,60,36,Baru
Rp 5 Miliar,"Ilir Timur Tiga, Kota Palembang",5,4,343,450,Second
Rp 385 Juta,"Tambun Utara, Kab. Bekasi",2,1,70,36,Baru
Rp 13 Miliar,"Kebon Jeruk, Kota Jakarta Barat",5,4,271,280,Second
"Rp 1 Miliar - Rp 1,01 Miliar","Kalideres, Kota Jakarta Barat",3,2,45,76,Baru
Rp 175 Juta,"Pasar Minggu, Kota Jakarta Selatan",2,1,30,30,Second
Rp 199 Juta - Rp 435 Juta,"Sawangan, Kota Depok",2-3,1-2,45 - 57,36 - 60,Baru
Rp 850 Juta,"Duren Sawit, Kota Jakarta Timur",2,1,78,60,Second
Rp 495 Juta - Rp 650 Juta,"Sawangan, Kota Depok",2,1,59,36,Baru
"Rp 1,3 Miliar","Banjar, Kota Banjar",4,1,396,120,Second
Rp 395 Juta - Rp 460 Juta,"Setu, Kab. Bekasi",2,1,60,36,Baru
"Rp 11,49 Miliar","Cilandak, Kota Jakarta Selatan",5,5,400,252,Second
Rp 634 Juta - Rp 780 Juta,"Jatiasih, Kota Bekasi",3,2,54,60,Baru
Rp 520 Juta,"Weru, Kab. Cirebon",3,3,75,144,Second
Rp 250 Juta - Rp 300 Juta,"Sawangan, Kota Depok",2,1,49,36,Baru
"Rp 3,7 Miliar","Cilandak, Kota Jakarta Selatan",3,2,180,150,Second
Rp 534 Juta - Rp 714 Juta,"Sawangan, Kota Depok",2,1-2,50 - 60,36 - 50,Baru
"Rp 3,6 Miliar","Cengkareng, Kota Jakarta Barat",5,3,LB 450,0,Second
"Rp 1,3 Miliar - Rp 1,41 Miliar","Pamulang, Kota Tangerang Selatan",3,2,60,60,Baru
Rp 15 Miliar,"Wonocolo, Kota Surabaya",1,7,LB 912,0,Second
Rp 580 Juta,"Setu, Kota Tangerang Selatan",2,1,2 - 60,1 - 50,Baru
"Rp 5,1 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",3,3,749,162,Second
Rp 650 Juta - Rp 667 Juta,"Bojongsari, Kota Depok",2,2,66,65,Baru
Rp 895 Juta,"Pancoran Mas, Kota Depok",4,2,107,90,Second
Rp 800 Juta - Rp 972 Juta,"Pamulang, Kota Tangerang Selatan",3,2,65,70,Baru
"Rp 1,5 Miliar","Kebayoran Baru, Kota Jakarta Selatan",5,5,81,144,Second
"Rp 934 Juta - Rp 1,17 Miliar","Bojongsari, Kota Depok",3,2,60,65,Baru
Rp 2 Miliar,"Cakung, Kota Jakarta Timur",3,3,120,240,Second
"Rp 752 Juta - Rp 1,1 Miliar","Bandung Wetan, Kota Bandung",2,1,62 - 97,65 - 75,Baru
"Rp 753,11 Juta","Limo, Kota Depok",2,2,50,64,Second
"Rp 819 Juta - Rp 1,14 Miliar","Serpong, Kota Tangerang Selatan",3,2,60,60,Baru
"Rp 2,9 Miliar","Cinere, Kota Depok",3,LT 332 m²,LB 250,0,Second
Rp 495 Juta - Rp 675 Juta,"Tarumajaya, Kab. Bekasi",2,1,60,40,Baru
"Rp 1,2 Miliar","Jagakarsa, Kota Jakarta Selatan",3,2,68,75,Second
"Rp 1,02 Miliar - Rp 1,12 Miliar","Gunung Putri, Kab. Bogor",3,2,89 - 90,70,Baru
Rp 120 Juta,"Cibarusah, Kab. Bekasi",2,1,60,50,Second
Rp 735 Juta - Rp 750 Juta,"Cibinong, Kab. Bogor",3,2,105,61,Baru
"Rp 275,5 Juta","Cibinong, Kab. Bogor",2,1,60,60,Second
Rp 505 Juta - Rp 620 Juta,"Sawangan, Kota Depok",2,1,60,37,Baru
Rp 275 Juta,"Cibinong, Kab. Bogor",2,1,60,60,Second
Rp 275 Juta - Rp 550 Juta,"Sawangan, Kota Depok",2,1,50,30,Baru
Rp 540 Juta,"Makasar, Kota Jakarta Timur",2,1,70,36,Second
Rp 495 Juta - Rp 587 Juta,"Gunung Sindur, Kab. Bogor",2,1,60,36,Baru
Rp 575 Juta,"Jonggol, Kab. Bogor",3,2,120,70,Second
"Rp 1,1 Miliar - Rp 1,45 Miliar","Jatiasih, Kota Bekasi",3,2,111,72,Baru
Rp 790 Juta,"Cisarua, Kab. Bandung Barat",3,2,76,69,Second
Rp 550 Juta - Rp 575 Juta,"Legok, Kab. Tangerang",2,1,72,40,Baru
"Rp 11,6 Miliar","Kelapa Gading, Kota Jakarta Utara",5,4,187,500,Second
Rp 166 Juta - Rp 557 Juta,"Pakis, Kab. Malang",2,1-2,60,30 - 36,Baru
"Rp 2,3 Miliar","Mijen, Kota Semarang",13,13,222,200,Second
Rp 490 Juta - Rp 500 Juta,"Cipayung, Kota Depok",2,1,66,40,Baru
"Rp 2,9 Miliar","Kalideres, Kota Jakarta Barat",4,2,120,150,Second
"Rp 844 Juta - Rp 1,23 Miliar","Pamulang, Kota Tangerang Selatan",2-3,1-2,72,36 - 74,Baru
"Rp 2,5 Miliar","Kalideres, Kota Jakarta Barat",4,3,90,150,Second
"Rp 1,23 Miliar - Rp 1,29 Miliar","Pamulang, Kota Tangerang Selatan",3,2,72,74,Baru
"Rp 1,65 Miliar","Ciracas, Kota Jakarta Timur",3,1,LB 92,0,Second
"Rp 844 Juta - Rp 1,23 Miliar","Pamulang, Kota Tangerang Selatan",2-3,1-2,72,36 - 74,Baru
"Rp 386,05 Juta","Babelan, Kab. Bekasi",2,1,LB 60,0,Second
Rp 599 Juta - Rp 899 Juta,"Sawangan, Kota Depok",2-3,1-2,50 - 60,36 - 65,Baru
Rp 850 Juta,"Medansatria (Medan Satria), Kota Bekasi",3,2,130,113,Second
Rp 377 Juta - Rp 415 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,60,36,Baru
Rp 800 Juta,"Larangan, Kota Tangerang",3,1,50,0,Second
Rp 377 Juta - Rp 415 Juta,"Bojongsari, Kota Depok",2,1,60,36,Baru
"Rp 2,05 Miliar","Duren Sawit, Kota Jakarta Timur",3,2,151,120,Second
"Rp 769 Juta - Rp 1,05 Miliar","Gunung Putri, Kab. Bogor",3,2,66,70,Baru
Rp 950 Juta,"Purwokerto Utara, Kab. Banyumas",3,2,165,86,Second
"Rp 1,13 Miliar - Rp 1,22 Miliar","Pondokmelati (Pondok Melati), Kota Bekasi",3,2,66,72,Baru
"Rp 1,05 Miliar","Pamulang, Kota Tangerang Selatan",4,3,83,90,Second
"Rp 1,28 Miliar - Rp 1,37 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,80,90,Baru
Rp 650 Juta,"Indramayu, Kab. Indramayu",2,2,54,45,Second
"Rp 1,48 Miliar - Rp 1,6 Miliar","Cipayung, Kota Jakarta Timur",3,2,80,70,Baru
Rp 4 Miliar,"Ngaglik, Kab. Sleman",3,4,LB 226,0,Second
Rp 380 Juta - Rp 415 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2,1,60,36,Baru
"Rp 6,75 Miliar","Pulogadung (Pulo Gadung), Kota Jakarta Timur",3,4,145,450,Second
"Rp 2,46 Miliar - Rp 3,09 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",4,3,171,90,Baru
"Rp 4,25 Miliar","Bandung Kidul, Kota Bandung",6,4,216,250,Second
"Rp 2,46 Miliar - Rp 3,09 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",4,3,171,90,Baru
"Rp 1,5 Miliar","Cakung, Kota Jakarta Timur",3,2,96,120,Second
Rp 460 Juta - Rp 485 Juta,"Tajurhalang, Kab. Bogor",2,1,75,45,Baru
Rp 820 Juta,"Kramatjati (Kramat Jati), Kota Jakarta Timur",3,2,60,70,Second
"Rp 395,4 Juta - Rp 762,6 Juta","Sawangan, Kota Depok",2,1,50 - 60,30 - 36,Baru
Rp 845 Juta,"Cipayung, Kota Jakarta Timur",3,2,82,45,Second
"Rp 787 Juta - Rp 11,79 Miliar","Cisauk, Kab. Tangerang",2-3,1-3,30 - 90,42 - 98,Baru
Rp 5 Miliar,"Jaten, Kab. Karanganyar",5,5,700,612,Second
Rp 421 Juta - Rp 442 Juta,"Cikarang Barat, Kab. Bekasi",2,2,72,36,Baru
Rp 800 Juta,"Gunung Putri, Kab. Bogor",3,2,LB 70,0,Second
Rp 693 Juta - Rp 933 Juta,"Banyumanik, Kota Semarang",2,2,60,36,Baru
Rp 550 Juta,"Pasar Kemis, Kab. Tangerang",3,1,72,72,Second
Rp 890 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,65,65,Baru
"Rp 1,8 Miliar","Cimanggis, Kota Depok",4,3,112,120,Second
Rp 887 Juta,"Sawangan, Kota Depok",3,2,72,70,Baru
Rp 280 Juta,"Maulafa, Kota Kupang",3,1,LB 56,0,Second
Rp 887 Juta,"Jatiasih, Kota Bekasi",3,2,72,75,Baru
Rp 1 Miliar,"Taman, Kab. Sidoarjo",2,1,128,45,Second
"Rp 1,05 Miliar - Rp 1,72 Miliar","Cipayung, Kota Jakarta Timur",2,2,60 - 72,54 - 77,Baru
"Rp 6,4 Miliar","Cilandak, Kota Jakarta Selatan",5,4,136,250,Second
Rp 895 Juta - Rp 945 Juta,"Jatiasih, Kota Bekasi",3,2,96,85,Baru
Rp 800 Juta,"Pondokgede (Pondok Gede), Kota Bekasi",3,3,180,0,Second
"Rp 1,58 Miliar - Rp 1,98 Miliar","Pamulang, Kota Tangerang Selatan",3,2,61,86,Baru
Rp 810 Juta,"Cikarang Barat, Kab. Bekasi",3,3,120,165,Second
"Rp 904,9 Juta - Rp 971,4 Juta","Rawalumbu, Kota Bekasi",3,2,72,77,Baru
Rp 889 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",4,3,193,180,Second
"Rp 383,2 Juta - Rp 430,8 Juta","Tajurhalang, Kab. Bogor",2,1,72,50,Baru
Rp 125 Juta,"Tajurhalang, Kab. Bogor",2,1,30,30,Second
Rp 391 Juta - Rp 618 Juta,"Sawangan, Kota Depok",2-3,1-2,50 - 90,28 - 50,Baru
Rp 850 Juta,"Jatiasih, Kota Bekasi",3,LT 150 m²,LB 234,0,Second
Rp 167 Juta - Rp 227 Juta,"Setu, Kab. Bekasi",LT 138 m²,0,0,0,Baru
Rp 530 Juta,"Rancasari, Kota Bandung",3,LT 83 m²,LB 100,0,Second
"Rp 1,33 Miliar","Medan Amplas, Kota Medan",3,3,117,150,Baru
"Rp 1,26 Miliar","Sukmajaya, Kota Depok",4,3,210,108,Second
Rp 407 Juta - Rp 585 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",LT 95 m²,0,0,0,Baru
Rp 1000 Juta,"Antapani (Cicadas), Kota Bandung",2,1,LB 57,0,Second
Rp 386 Juta - Rp 541 Juta,"Jatiasih, Kota Bekasi",LT 100 m²,0,0,0,Baru
"Rp 1,2 Miliar","Ciputat, Kota Tangerang Selatan",4,2,80,120,Second
Rp 418 Juta - Rp 559 Juta,"Setu, Kab. Bekasi",2,1,72,40,Baru
Rp 399 Juta,"Cibinong, Kab. Bogor",3,2,74,74,Second
Rp 488 Juta - Rp 654 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",2-3,1-2,72 - 85,36 - 45,Baru
Rp 860 Juta,"Cipayung, Kota Depok",5,4,248,184,Second
Rp 147 Juta - Rp 221 Juta,"Cileungsi, Kab. Bogor",LT 82 m²,0,0,0,Baru
"Rp 6,95 Miliar","Bekasi Selatan, Kota Bekasi",6,4,550,300,Second
Rp 769 Juta - Rp 775 Juta,"Bogor Barat, Kota Bogor",2,2,72,65,Baru
"Rp 2,9 Miliar","Gunung Putri, Kab. Bogor",5,3,151,125,Second
Rp 694 Juta - Rp 916 Juta,"Cibinong, Kab. Bogor",2,2,60,45,Baru
"Rp 1,6 Miliar","Cimanggis, Kota Depok",4,LT 98 m²,LB 120,0,Second
"Rp 1,29 Miliar - Rp 1,77 Miliar","Pondok Aren, Kota Tangerang Selatan",3,2,60,72,Baru
Rp 185 Juta,"Cisoka, Kab. Tangerang",2,1,60,38,Second
"Rp 740 Juta - Rp 2,85 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",2-5,2-4,40 - 112,45 - 192,Baru
"Rp 3,6 Miliar","Duren Sawit, Kota Jakarta Timur",4,4,237,208,Second
Rp 400 Juta - Rp 650 Juta,"Kedungkandang, Kota Malang",2-3,1-2,66,42 - 65,Baru
Rp 590 Juta,"Medansatria (Medan Satria), Kota Bekasi",2,1,LB 45,0,Second
"Rp 1,38 Miliar - Rp 3,52 Miliar","Sawangan, Kota Depok",3,2,72 - 120,75 - 114,Baru
"Rp 1,33 Miliar","Pamulang, Kota Tangerang Selatan",3,3,66,60,Second
Rp 450 Juta - Rp 600 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,60,50,Baru
Rp 430 Juta,"Banyumanik, Kota Semarang",3,1,92,45,Second
Rp 585 Juta - Rp 607 Juta,"Jatiasih, Kota Bekasi",2,1,67 - 70,36 - 42,Baru
Rp 700 Juta,"Sawangan, Kota Depok",3,2,70,72,Second
"Rp 1,38 Miliar - Rp 3,52 Miliar","Sawangan, Kota Depok",2-3,2,72 - 120,75 - 114,Baru
"Rp 1,15 Miliar","Sukasari, Kota Bandung",7,3,87,120,Second
Rp 440 Juta,"Cikarang Utara, Kab. Bekasi",2,1,60,36,Baru
Rp 690 Juta,"Sawangan, Kota Depok",3,2,70,72,Second
"Rp 792 Juta - Rp 1,04 Miliar","Pancoran Mas, Kota Depok",3,2,36,55,Baru
Rp 675 Juta,"Taman, Kab. Sidoarjo",3,LT 100 m²,LB 90,0,Second
"Rp 871 Juta - Rp 1,54 Miliar","Tanah Sareal (Tanah Sereal), Kota Bogor",3,2,70 - 74,66 - 70,Baru
"Rp 1,04 Miliar","Beji, Kota Depok",2,2,116,116,Second
Rp 475 Juta - Rp 525 Juta,"Tajurhalang, Kab. Bogor",2,1,60 - 72,36 - 45,Baru
"Rp 1,25 Miliar","Curug, Kab. Tangerang",4,3,129,110,Second
Rp 399 Juta - Rp 519 Juta,"Tajurhalang, Kab. Bogor",2,1,60,36,Baru
Rp 940 Juta,"Limo, Kota Depok",3,3,LB 176,0,Second
Rp 435 Juta - Rp 595 Juta,"Cibinong, Kab. Bogor",2,1,48,36,Baru
Rp 14 Miliar,"Gunung Putri, Kab. Bogor",4,4,464,316,Second
"Rp 2 Miliar - Rp 2,14 Miliar","Cikarang Selatan, Kab. Bekasi",4,4,112 - 160,138 - 189,Baru
"Rp 13,5 Miliar","Gubeng, Kota Surabaya",8,LT 494 m²,LB 285,0,Second
Rp 275 Juta - Rp 550 Juta,"Sawangan, Kota Depok",2,1,50,30,Baru
"Rp 1,55 Miliar","Semarang Barat, Kota Semarang",4,3,79,104,Second
Rp 365 Juta - Rp 575 Juta,"Bojongsari, Kota Depok",2,1,50 - 61,36 - 40,Baru
Rp 949 Juta,"Sepatan, Kab. Tangerang",4,4,140,90,Second
"Rp 885 Juta - Rp 1,28 Miliar","Jatiasih, Kota Bekasi",3,2,83,70,Baru
"Rp 1,5 Miliar","Pondok Aren, Kota Tangerang Selatan",2,1,134,0,Second
Rp 495 Juta - Rp 700 Juta,"Tambun Utara, Kab. Bekasi",3,1,60,45,Baru
Rp 60 Miliar,"Kebayoran Lama, Kota Jakarta Selatan",5,LT 1.180 m²,LB 743,0,Second
Rp 484 Juta - Rp 648 Juta,"Setu, Kab. Bekasi",2,1,72,45,Baru
"Rp 1,9 Miliar","Duren Sawit, Kota Jakarta Timur",4,4,71,120,Second
Rp 500 Juta - Rp 638 Juta,"Tambun Selatan, Kab. Bekasi",2,1,73,42,Baru
Rp 850 Juta,"Rawalumbu, Kota Bekasi",3,3,72,120,Second
Rp 500 Juta - Rp 638 Juta,"Tambun Selatan, Kab. Bekasi",3,2,72,60,Baru
"Rp 1,91 Miliar","Cakung, Kota Jakarta Timur",4,4,72,120,Second
Rp 480 Juta - Rp 510 Juta,"Ciampea, Kab. Bogor",LT 320 m²,LB 320 m²,0,0,Baru
"Rp 1,3 Miliar","Bogor Barat, Kota Bogor",2,1,131,80,Second
Rp 352 Juta,"Ciampea, Kab. Bogor",2,1,70,30,Baru
"Rp 1,1 Miliar","Bogor Barat, Kota Bogor",4,3,121,164,Second
Rp 282 Juta - Rp 527 Juta,"Tamansari, Kab. Bogor",2,1,92,32,Baru
"Rp 1,75 Miliar","Cimanggis, Kota Depok",4,3,112,116,Second
Rp 114 Juta - Rp 157 Juta,"Ciampea, Kab. Bogor",2,1,60,30,Baru
"Rp 3,5 Miliar","Bekasi Selatan, Kota Bekasi",7,4,LB 240,0,Second
Rp 240 Juta - Rp 541 Juta,"Ciampea, Kab. Bogor",2,1,70,30,Baru
"Rp 1,9 Miliar","Duren Sawit, Kota Jakarta Timur",4,4,72,125,Second
Rp 200 Juta - Rp 550 Juta,"Sawangan, Kota Depok",2,1,50,36,Baru
Rp 166 Juta,"Parungkuda (Parung Kuda), Kab. Sukabumi",1,LT 60 m²,LB 36,0,Second
Rp 200 Juta - Rp 550 Juta,"Tajurhalang, Kab. Bogor",2,1,35,30,Baru
"Rp 1,4 Miliar","Pagedangan, Kab. Tangerang",2,2,50,68,Second
"Rp 545 Juta - Rp 1,18 Miliar","Sawangan, Kota Depok",2-3,1-2,60,40 - 60,Baru
"Rp 1,45 Miliar","Ciputat, Kota Tangerang Selatan",2,LT 72 m²,LB 140,0,Second
Rp 700 Juta - Rp 950 Juta,"Pancoran Mas, Kota Depok",2-3,1-2,60 - 85,36 - 80,Baru
Rp 3 Miliar,"Pinang (Penang), Kota Tangerang",7,LT 208 m²,LB 360,0,Second
Rp 490 Juta - Rp 530 Juta,"Bojongsari, Kota Depok",2,1,60,40,Baru
"Rp 1,5 Miliar","Parongpong, Kab. Bandung Barat",3,3,100,0,Second
Rp 150 Juta - Rp 350 Juta,"Tajurhalang, Kab. Bogor",2,1,50,30,Baru
Rp 800 Juta,"Karawaci, Kota Tangerang",4,1,90,84,Second
"Rp 1,06 Miliar - Rp 2,83 Miliar","Bogor Selatan, Kota Bogor",3,3,84 - 120,62 - 94,Baru
"Rp 2,3 Miliar","Mulyorejo, Kota Surabaya",4,3,96,150,Second
Rp 365 Juta - Rp 575 Juta,"Bojongsari, Kota Depok",2,1,50 - 61,36 - 40,Baru
Rp 500 Juta,"Lembang, Kab. Bandung Barat",2,1,LB 60,0,Second
Rp 765 Juta - Rp 929 Juta,"Beji, Kota Depok",3,2,54,40,Baru
"Rp 1,1 Miliar","Pagedangan, Kab. Tangerang",2,1,72,50,Second
Rp 495 Juta - Rp 545 Juta,"Sawangan, Kota Depok",2,1,59,36,Baru
Rp 800 Juta,"Cijeruk, Kab. Bogor",2,2,72,48,Second
Rp 568 Juta - Rp 945 Juta,"Sawangan, Kota Depok",2,1,61,40,Baru
Rp 420 Juta,"Tambun Selatan, Kab. Bekasi",2,1,84,84,Second
Rp 585 Juta - Rp 650 Juta,"Sukaraja, Kab. Bogor",2,2,50,49,Baru
